,city_development_index,experience,last_new_job,training_hours,target,gender_Male,gender_Other,relevent_experience_No relevent experience,enrolled_university_Part time course,enrolled_university_no_enrollment,education_level_Phd,education_level_Undergraduate,cdi_bucket_medium_human_development,cdi_bucket_high_human_development,cdi_bucket_very_high_human_development,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,company_type_Startup Company,company_type_Unknown,major_STEM
95,0.802,9,1,33,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
98,0.802,6,2,14,1.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
99,0.55,6,2,27,1.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
100,0.55,8,1,24,1.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
102,0.92,11,5,20,0.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
104,0.91,12,1,52,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
105,0.939,21,2,160,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
106,0.897,9,2,3,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
107,0.624,2,2,2,1.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
108,0.91,21,5,28,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
109,0.754,21,4,46,0.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
110,0.855,8,1,210,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
111,0.926,10,1,36,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
112,0.949,4,1,160,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
113,0.624,2,2,101,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
114,0.926,6,1,46,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
115,0.925,21,5,19,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
116,0.624,3,2,26,1.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
118,0.8959999999999999,9,4,59,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
119,0.92,10,1,260,0.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
120,0.624,11,5,74,0.0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
121,0.91,21,2,20,1.0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
122,0.878,12,2,8,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
123,0.92,6,1,131,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
124,0.836,7,1,45,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
125,0.693,11,2,109,0.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
126,0.855,3,1,70,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
127,0.92,21,5,17,0.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
128,0.92,15,1,51,0.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
129,0.92,6,3,60,1.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
131,0.926,12,5,7,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
133,0.6659999999999999,20,4,290,0.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
137,0.92,3,1,133,1.0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
139,0.92,10,1,76,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
140,0.698,5,4,21,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
141,0.624,8,2,34,0.0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
142,0.92,9,2,15,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
143,0.866,21,5,156,0.0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
144,0.92,21,5,15,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
147,0.754,12,2,100,1.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1
148,0.855,6,0,102,0.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
152,0.92,21,5,14,0.0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1
155,0.624,6,4,49,1.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
156,0.91,15,5,72,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
157,0.925,14,3,141,1.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
159,0.92,13,1,6,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
160,0.92,17,1,125,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
162,0.92,21,2,33,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
165,0.92,15,5,55,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
166,0.698,21,5,32,0.0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
167,0.92,21,5,11,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
168,0.754,21,1,41,0.0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
169,0.92,21,5,87,1.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
170,0.855,10,4,114,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
172,0.698,5,1,15,0.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
175,0.92,21,4,13,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
176,0.949,21,1,246,0.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
177,0.92,9,1,22,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
178,0.92,21,1,81,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
181,0.92,21,1,50,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
183,0.939,21,5,31,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
184,0.926,21,0,84,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
185,0.897,4,1,42,0.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
187,0.92,21,5,72,0.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
188,0.789,14,5,42,1.0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
189,0.698,15,1,152,0.0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
190,0.92,12,1,60,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
191,0.624,2,0,8,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
192,0.91,13,3,17,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
194,0.91,4,0,38,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
195,0.92,14,2,178,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
196,0.92,15,1,11,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
198,0.802,13,0,84,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
199,0.884,21,2,32,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
201,0.624,2,1,39,0.0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
204,0.903,3,1,55,1.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
206,0.92,2,1,104,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
208,0.92,21,5,8,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
209,0.624,2,0,102,0.0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
212,0.624,3,0,42,0.0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
214,0.624,3,1,88,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
216,0.92,21,1,7,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
218,0.91,21,5,62,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
219,0.92,6,1,83,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
220,0.939,9,5,11,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
221,0.926,21,5,10,0.0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1
222,0.939,10,1,114,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
225,0.91,2,0,80,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
226,0.92,21,5,108,0.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
227,0.92,2,2,45,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
228,0.92,5,0,77,0.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
229,0.926,15,2,8,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
231,0.727,9,5,37,0.0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
233,0.92,13,2,162,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
235,0.903,19,4,4,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
236,0.884,3,1,41,0.0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
238,0.92,21,1,190,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
240,0.92,6,1,11,0.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
242,0.92,13,5,39,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
244,0.926,21,5,5,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
246,0.926,10,5,29,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
249,0.92,9,3,44,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
250,0.91,15,5,47,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
251,0.92,21,5,74,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
252,0.624,6,1,8,1.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
254,0.92,3,1,162,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
257,0.836,14,1,6,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
258,0.6659999999999999,9,1,19,1.0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
259,0.6659999999999999,21,5,23,1.0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1
261,0.897,15,5,134,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
262,0.926,11,1,40,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
263,0.884,12,1,11,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
264,0.92,11,3,102,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
265,0.624,2,0,100,0.0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
266,0.923,3,0,30,0.0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
270,0.624,0,1,14,1.0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1
272,0.92,5,2,40,0.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
273,0.91,21,2,27,0.0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
276,0.92,13,1,96,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
278,0.92,6,1,240,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
279,0.949,4,4,42,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
280,0.939,7,1,16,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
281,0.64,21,0,40,1.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
282,0.92,5,2,94,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
284,0.878,10,1,25,0.0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1
285,0.516,9,1,11,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
287,0.698,8,1,23,0.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
288,0.727,10,2,113,0.0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
290,0.924,2,1,39,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
292,0.92,21,1,40,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
293,0.92,21,5,56,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
295,0.926,19,2,64,0.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
296,0.754,5,1,51,0.0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
297,0.855,6,2,41,0.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
299,0.579,4,1,320,0.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
300,0.897,7,0,20,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
302,0.804,9,1,74,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
303,0.624,3,1,129,1.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
304,0.855,10,1,42,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
308,0.923,21,5,166,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
309,0.913,2,1,110,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
310,0.92,21,1,37,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
311,0.804,2,1,95,1.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
312,0.92,21,5,29,1.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
313,0.926,21,5,31,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
314,0.743,11,5,97,0.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
317,0.804,21,5,206,0.0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
318,0.92,2,1,204,0.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
319,0.92,18,2,116,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
321,0.92,21,5,25,1.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
324,0.698,15,1,100,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
325,0.92,20,0,107,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
326,0.769,11,1,17,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
327,0.91,10,1,140,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
328,0.939,3,2,75,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
332,0.855,9,2,42,1.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
335,0.91,7,1,22,0.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
337,0.913,21,5,143,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
338,0.855,14,2,72,0.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
340,0.897,3,1,182,0.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
341,0.915,15,4,50,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
345,0.624,4,2,60,1.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
346,0.802,5,4,124,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
348,0.698,3,2,57,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
349,0.92,9,1,17,0.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
352,0.897,21,1,36,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
353,0.893,15,4,198,0.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
354,0.91,5,0,31,0.0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
356,0.92,21,1,31,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
357,0.92,20,5,26,1.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
358,0.92,6,1,55,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
359,0.624,11,5,8,1.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
361,0.899,16,2,8,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
362,0.878,21,3,32,1.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
363,0.7759999999999999,18,5,51,0.0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
364,0.804,9,2,22,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
367,0.899,5,1,19,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
368,0.624,9,2,46,1.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
369,0.91,13,5,15,0.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
370,0.92,21,5,23,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
371,0.893,21,5,38,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
374,0.92,21,5,52,0.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
375,0.92,0,0,22,1.0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
376,0.926,15,2,65,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
378,0.92,7,4,86,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
379,0.887,4,1,52,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
381,0.926,3,1,86,0.0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
382,0.897,5,4,288,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
383,0.91,21,5,53,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
384,0.939,17,1,60,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
385,0.91,18,5,178,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
386,0.939,21,2,166,0.0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
387,0.924,21,1,62,0.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
388,0.624,7,1,35,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
389,0.92,17,5,106,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
390,0.836,6,0,58,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
394,0.939,16,2,166,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
396,0.92,21,0,109,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
397,0.884,1,1,37,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
400,0.89,9,3,51,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
401,0.92,16,1,84,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
402,0.926,21,1,72,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
404,0.855,12,4,47,0.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
406,0.624,8,1,198,1.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
407,0.92,2,1,64,0.0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
408,0.8959999999999999,15,5,23,1.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
409,0.884,14,3,96,0.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
411,0.754,9,1,8,0.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
412,0.762,21,1,48,0.0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
413,0.624,8,1,98,1.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
415,0.92,1,1,53,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
416,0.92,21,1,102,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
419,0.92,21,5,32,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
422,0.884,3,2,322,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
424,0.92,4,1,7,0.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
425,0.91,16,1,53,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
426,0.855,10,1,161,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
427,0.897,8,1,11,0.0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
429,0.624,1,1,72,1.0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
430,0.794,6,1,182,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
431,0.939,21,5,67,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
432,0.527,1,1,50,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1
433,0.884,5,1,16,0.0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1
